Součet hodnot: Kapacita,Kolo,KKOV,Kraj,Město,Součet hodnot: Nepřijati - nedostačující kapacita,Součet hodnot: Nepřijati - nesplnění podmínek,Součet hodnot: Nepřijati - přijati na vyšší prioritu,Obor,Okres,Součet hodnot: Přihlášeni,Součet hodnot: Přihlášeni - priorita 1,Součet hodnot: Přihlášeni - priorita 2,Součet hodnot: Přihlášeni - priorita 3,Součet hodnot: Přijati,Součet hodnot: Přijati - priorita 1,Součet hodnot: Přijati - priorita 2,Součet hodnot: Přijati - priorita 3,Součet hodnot: REDIZO,Rok,SMO16,Škola,Zaměření,Zřizovatel
30,1,16-01-M/01,Hlavní město Praha,Praha,45,1,66,Ekologie a životní prostředí,Praha,142,38,45,59,30,23,7,0,600004856,2024,SZE,"VOŠek.st.,G,SPŠpotr.t. a SOŠpřír.a vet., Podskalská 365, Praha","",veřejné / státní
30,1,16-01-M/01,Hlavní město Praha,Praha,16,2,52,Ekologie a životní prostředí,Praha,100,31,35,32,30,21,6,3,600004856,2025,SZE,"VOŠek.st.,G,SPŠpotr.t. a SOŠpřír.a vet.",Ekologie a ochrana životního prostředí,veřejné / státní
40,1,16-01-M/01,Jihočeský,Písek,0,1,41,Ekologie a životní prostředí,Písek,67,11,27,29,25,10,12,3,600008550,2024,SZE,"Střední zemědělská škola, Čelakovského 200, Písek","",veřejné / státní
30,1,16-01-M/01,Jihočeský,Písek,0,0,32,Ekologie a životní prostředí,Písek,50,12,17,18,18,12,5,1,600008550,2025,SZE,Střední zemědělská škola,,veřejné / státní
30,1,16-01-M/01,Jihočeský,Třeboň,0,0,27,Ekologie a životní prostředí,Jindřichův Hradec,45,17,16,12,18,17,1,0,600008363,2024,SZE,"Střední škola rybářská a vodohospodářská, Táboritská 688, Třeboň",Vodohospodář,veřejné / státní
30,1,16-01-M/01,Jihočeský,Třeboň,0,0,44,Ekologie a životní prostředí,Jindřichův Hradec,69,15,18,35,25,15,6,4,600008363,2025,SZE,Střední škola rybářská a vodohospodářská,Vodohospodářství,veřejné / státní
30,1,16-01-M/01,Jihočeský,Veselí nad Lužnicí,0,0,37,Ekologie a životní prostředí,Tábor,61,19,15,25,24,19,3,2,600008851,2024,SZE,"SOŠ ekologická a potravinářská, Blatské sídliště 600, Veselí nad Lužnicí",Ekologie a životní prostředí,veřejné / státní
30,1,16-01-M/01,Jihočeský,Veselí nad Lužnicí,0,9,37,Ekologie a životní prostředí,Tábor,71,22,26,20,25,18,6,1,600008851,2025,SZE,SOŠ ekologická a potravinářská,,veřejné / státní
23,1,16-01-M/01,Jihomoravský,Bzenec,0,0,14,Ekologie a životní prostředí,Hodonín,27,9,11,7,13,9,4,0,600014614,2024,SZE,"SŠ gastronomie, hotelnictví a lesnictví, náměstí Svobody 318, Bzenec","",veřejné / státní
23,1,16-01-M/01,Jihomoravský,Bzenec,0,1,23,Ekologie a životní prostředí,Hodonín,37,10,11,13,13,10,2,1,600014614,2025,SZE,"SŠ gastronomie, hotelnictví a lesnictví",,veřejné / státní
30,1,16-01-M/01,Jihomoravský,Rajhrad,2,9,49,Ekologie a životní prostředí,Brno-venkov,90,24,38,28,30,21,5,4,600014096,2024,SZE,"Střední zahradnická škola, Masarykova 198, Rajhrad","",veřejné / státní
30,1,16-01-M/01,Jihomoravský,Rajhrad,0,13,52,Ekologie a životní prostředí,Brno-venkov,87,17,35,32,22,14,3,5,600014096,2025,SZE,Střední zahradnická škola,,veřejné / státní
15,1,16-01-M/01,Karlovarský,Karlovy Vary,4,1,41,Ekologie a životní prostředí,Karlovy Vary,61,14,21,24,15,13,1,1,600009203,2024,SZE,"SUPŠ keramická a sklářská K. Vary, nám. 17. listopadu 710, Karlovy Vary","",veřejné / státní
15,1,16-01-M/01,Karlovarský,Karlovy Vary,6,3,25,Ekologie a životní prostředí,Karlovy Vary,49,14,15,17,15,11,2,2,600009203,2025,SZE,SUPŠ keramická a sklářská K. Vary,Ekologie a životní prostředí,veřejné / státní
10,1,16-01-M/01,Kraj Vysočina,Polná,0,2,0,Ekologie a životní prostředí,Jihlava,6,5,1,0,4,4,0,0,691013357,2024,SZE,"Montessori SŠ, ZŠ a MŠ Polná, Alej svobody 1247, Polná","",soukromé
10,1,16-01-M/01,Kraj Vysočina,Polná,0,2,4,Ekologie a životní prostředí,Jihlava,7,1,3,3,1,1,0,0,691013357,2025,SZE,"Montessori SŠ, ZŠ a MŠ Polná",,soukromé
26,1,16-01-M/01,Královéhradecký,Trutnov,0,1,59,Ekologie a životní prostředí,Trutnov,75,11,38,23,15,11,3,1,600012905,2024,SZE,"Čes. lesn. akademie Trutnov - SŠ a VOŠ, Lesnická 9, Trutnov","",veřejné / státní
15,1,16-01-M/01,Liberecký,Česká Lípa,0,1,20,Ekologie a životní prostředí,Česká Lípa,34,9,14,11,13,9,3,1,600010104,2024,SZE,"SZdrŠ a SOŠ, příspěvková organizace, 28. října 2707, Česká Lípa","",veřejné / státní
15,1,16-01-M/01,Liberecký,Česká Lípa,0,2,14,Ekologie a životní prostředí,Česká Lípa,30,9,13,7,14,9,3,2,600010104,2025,SZE,"SZdrŠ a SOŠ, příspěvková organizace",,veřejné / státní
15,1,16-01-M/01,Liberecký,Frýdlant,0,13,16,Ekologie a životní prostředí,Liberec,32,6,12,12,2,2,0,0,600010678,2024,SZE,"SŠ hospod.a les.,příspěvková organizace, Bělíkova 1387, Frýdlant","",veřejné / státní
15,1,16-01-M/01,Moravskoslezský,Český Těšín,4,0,35,Ekologie a životní prostředí,Karviná,54,13,14,26,15,11,2,2,600171213,2024,SZE,"Albrechtova střední škola, Tyršova 611, Český Těšín","",veřejné / státní
15,1,16-01-M/01,Moravskoslezský,Český Těšín,0,0,32,Ekologie a životní prostředí,Karviná,44,10,6,27,12,10,0,2,600171213,2025,SZE,Albrechtova střední škola,,veřejné / státní
30,1,16-01-M/01,Moravskoslezský,Nový Jičín,0,0,37,Ekologie a životní prostředí,Nový Jičín,59,17,12,28,22,17,2,3,600016846,2024,SZE,"Střední škola technická a zemědělská, U Jezu 7, Nový Jičín","",veřejné / státní
30,1,16-01-M/01,Moravskoslezský,Nový Jičín,0,0,43,Ekologie a životní prostředí,Nový Jičín,68,15,19,34,25,15,6,4,600016846,2025,SZE,Střední škola technická a zemědělská,,veřejné / státní
23,1,16-01-M/01,Olomoucký,Šternberk,0,5,26,Ekologie a životní prostředí,Olomouc,44,8,17,17,13,7,4,2,600016994,2024,SZE,"SOŠ lesnická a strojírenská, Opavská 55, Šternberk","",veřejné / státní
23,1,16-01-M/01,Olomoucký,Šternberk,0,7,29,Ekologie a životní prostředí,Olomouc,41,9,11,19,5,5,0,0,600016994,2025,SZE,SOŠ lesnická a strojírenská,,veřejné / státní
15,1,16-01-M/01,Olomoucký,Šumperk,0,0,37,Ekologie a životní prostředí,Šumperk,48,8,15,24,11,8,3,0,600018075,2024,SZE,"Střední odborná škola, Zemědělská 2115, Šumperk","",veřejné / státní
15,1,16-01-M/01,Olomoucký,Šumperk,1,2,48,Ekologie a životní prostředí,Šumperk,66,7,17,39,15,5,8,2,600018075,2025,SZE,Střední odborná škola,,veřejné / státní
30,1,16-01-M/01,Pardubický,Chrudim,0,1,42,Ekologie a životní prostředí,Chrudim,60,9,25,24,17,9,6,2,651033772,2024,SZE,"SŠ zemědělská a VOŠ, Poděbradova 842, Chrudim",Vodohospodář,veřejné / státní
26,1,16-01-M/01,Pardubický,Chrudim,0,1,44,Ekologie a životní prostředí,Chrudim,63,12,22,28,18,12,3,3,651033772,2025,SZE,SŠ zemědělská a VOŠ,,veřejné / státní
30,1,16-01-M/01,Plzeňský,Klatovy,0,0,54,Ekologie a životní prostředí,Klatovy,82,22,33,22,28,22,5,1,600009424,2025,SZE,Střední škola zemědělská a potravinářská,Ochrana přírody a prostředí,veřejné / státní
26,1,16-01-M/01,Plzeňský,Plzeň,22,13,31,Ekologie a životní prostředí,Plzeň-město,92,42,27,22,26,21,4,1,600009785,2024,SZE,"Církevní základní škola a střední škola, Táborská 2081, Plzeň",Zájmové a záchranné chovy,církevní
26,1,16-01-M/01,Plzeňský,Plzeň,21,14,33,Ekologie a životní prostředí,Plzeň-město,94,45,26,18,26,24,0,2,600009785,2025,SZE,Církevní základní škola a střední škola,Zájmové a záchranné chovy,církevní
30,1,16-01-M/01,Středočeský,Brandýs nad Labem-Stará Boleslav,0,11,34,Ekologie a životní prostředí,Praha-východ,64,16,21,26,19,11,7,1,600007731,2024,SZE,"Střední zemědělská škola, Zápská 302, Brandýs nad Labem-Stará Boleslav",Ekologie a životní prostředí,veřejné / státní
30,1,16-01-M/01,Středočeský,Brandýs nad Labem-Stará Boleslav,19,0,46,Ekologie a životní prostředí,Praha-východ,95,22,31,39,30,15,10,5,600007731,2025,SZE,Střední zemědělská škola,,veřejné / státní
15,1,16-01-M/01,Středočeský,Hořovice,0,14,30,Ekologie a životní prostředí,Beroun,56,7,25,22,12,5,5,2,600006841,2024,SZE,"SOŠ a SOU, Palackého náměstí 100, Hořovice",Ochrana a tvorba životního prostředí,veřejné / státní
15,1,16-01-M/01,Středočeský,Hořovice,0,19,26,Ekologie a životní prostředí,Beroun,52,8,18,24,7,4,1,2,600006841,2025,SZE,SOŠ a SOU,Ochrana a tvorba životního prostředí,veřejné / státní
16,1,16-01-M/01,Středočeský,Jílové u Prahy,0,17,3,Ekologie a životní prostředí,Praha-západ,21,2,12,6,1,0,1,0,600007791,2024,SZE,"SOŠ a SOU, Šenflukova 220, Jílové u Prahy","",veřejné / státní
16,1,16-01-M/01,Středočeský,Jílové u Prahy,0,21,7,Ekologie a životní prostředí,Praha-západ,29,8,9,11,1,0,1,0,600007791,2025,SZE,SOŠ a SOU,Ekologie a životní prostředí,veřejné / státní
14,1,16-01-M/01,Středočeský,Rakovník,0,0,41,Ekologie a životní prostředí,Rakovník,55,8,15,32,13,8,3,2,600007936,2024,SZE,"Střední zemědělská škola, Pražská 1222, Rakovník","",veřejné / státní
20,1,16-01-M/01,Ústecký,Děčín,0,3,28,Ekologie a životní prostředí,Děčín,50,16,19,14,19,15,2,2,600010228,2024,SZE,"SŠ zahradnická a zeměděl. A. E. Komerse, Českolipská 123, Děčín","",veřejné / státní
15,1,16-01-M/01,Ústecký,Děčín,0,11,38,Ekologie a životní prostředí,Děčín,57,8,17,30,8,5,2,1,600010228,2025,SZE,SŠ zahradnická a zeměděl. A. E. Komerse,,veřejné / státní
48,1,16-01-M/01,Ústecký,Litvínov,13,0,47,Ekologie a životní prostředí,Most,108,57,30,18,48,47,0,1,600011046,2024,SZE,"SOŠ pro ochr. a obn. ŽP-Schola Humanitas, Ukrajinská 379, Litvínov",Ochrana životního prostředí,veřejné / státní
36,1,16-01-M/01,Ústecký,Litvínov,16,0,31,Ekologie a životní prostředí,Most,83,46,15,19,36,34,1,1,600011046,2025,SZE,SOŠ pro ochr. a obn. ŽP-Schola Humanitas,Ochrana životního prostředí,veřejné / státní
30,1,16-01-M/01,Zlínský,Rožnov pod Radhoštěm,0,0,38,Ekologie a životní prostředí,Vsetín,62,17,23,22,24,17,7,0,600018202,2024,SZE,"Střední škola zemědělská a přírodovědná, nábřeží Dukelských hrdinů 570, Rožnov pod Radhoštěm",Geoinformační systémy,veřejné / státní
30,1,16-01-M/01,Zlínský,Rožnov pod Radhoštěm,0,0,33,Ekologie a životní prostředí,Vsetín,52,13,18,18,19,13,4,2,600018202,2025,SZE,Střední škola zemědělská a přírodovědná,,veřejné / státní
30,1,16-02-M/01,Jihomoravský,Brno,0,0,29,Průmyslová ekologie,Brno-město,55,15,19,19,26,15,7,4,600171027,2024,SZE,"Střední průmyslová škola, Purkyňova 2832, Brno","",veřejné / státní
30,1,16-02-M/01,Královéhradecký,Hradec Králové,0,8,28,Průmyslová ekologie,Hradec Králové,54,9,16,25,18,7,4,7,600011828,2024,SZE,"SPŠ, SOŠ a SOU, Hradební 1029, Hradec Králové","",veřejné / státní
30,1,16-02-M/01,Královéhradecký,Hradec Králové,0,11,35,Průmyslová ekologie,Hradec Králové,58,5,13,36,12,5,5,2,600011828,2025,SZE,"SPŠ, SOŠ a SOU",,veřejné / státní
16,1,16-02-M/01,Liberecký,Liberec,0,1,9,Průmyslová ekologie,Liberec,16,6,4,6,6,6,0,0,600170608,2024,SZE,"SŠ stroj.stav.a dopr., příspěvková org., Ještědská 358, Liberec","",veřejné / státní
16,1,16-02-M/01,Liberecký,Liberec,6,0,24,Průmyslová ekologie,Liberec,46,11,11,21,16,11,1,4,600170608,2025,SZE,"SŠ stroj.stav.a dopr., příspěvková org.",,veřejné / státní
30,1,16-02-M/01,Olomoucký,Uničov,0,1,17,Průmyslová ekologie,Olomouc,25,3,10,12,7,3,3,1,600017079,2024,SZE,"SPŠ a SOU, Školní 164, Uničov",Obnovitelné zdroje,veřejné / státní
30,1,16-02-M/01,Olomoucký,Uničov,0,0,12,Průmyslová ekologie,Olomouc,20,5,8,7,8,5,2,1,600017079,2025,SZE,SPŠ a SOU,Obnovitelné zdroje energií,veřejné / státní
14,1,16-02-M/01,Pardubický,Ústí nad Orlicí,0,0,11,Průmyslová ekologie,Ústí nad Orlicí,14,1,4,7,3,1,1,1,600013197,2024,SZE,"Střední škola automobilní, Dukelská 313, Ústí nad Orlicí","",veřejné / státní
12,1,16-02-M/01,Pardubický,Ústí nad Orlicí,0,1,14,Průmyslová ekologie,Ústí nad Orlicí,19,2,11,6,4,2,2,0,600013197,2025,SZE,SŠ automobilní Ústí nad Orlicí,,veřejné / státní
20,1,18-20-M/01,Hlavní město Praha,Praha,6,27,26,Informační technologie,Praha,79,26,25,28,20,12,7,1,600005305,2024,ST1,"EDUCAnet-gymn., SOŠ a ZŠ Praha, s.r.o., Roztylská 1860, Praha",IT vzdělávání pro praxi,soukromé
30,1,18-20-M/01,Hlavní město Praha,Praha,25,2,42,Informační technologie,Praha,99,21,35,43,30,11,9,10,600004520,2024,ST1,"Obchodní akademie Dušní, Dušní 1083, Praha",Informatika v ekonomice,veřejné / státní
96,1,18-20-M/01,Hlavní město Praha,Praha,268,19,55,Informační technologie,Praha,438,321,97,20,96,94,2,0,600005542,2024,ST1,"Smíchovská SPŠ a gymnázium, Preslova 72, Praha",Informační technologie,veřejné / státní
32,1,18-20-M/01,Hlavní město Praha,Praha,107,15,29,Informační technologie,Praha,183,121,46,16,32,32,0,0,600005542,2024,ST1,"Smíchovská SPŠ a gymnázium, Preslova 72, Praha",Kybernetická bezpečnost,veřejné / státní
60,1,18-20-M/01,Hlavní město Praha,Praha,49,112,70,Informační technologie,Praha,295,110,99,85,64,42,16,6,600170080,2024,ST1,"SOŠ automobilní, informatiky a gymnázium, Weilova 1270, Praha","",veřejné / státní
30,1,18-20-M/01,Hlavní město Praha,Praha,13,49,52,Informační technologie,Praha,145,55,56,32,31,24,6,1,600170080,2024,ST1,"SOŠ automobilní, informatiky a gymnázium, Weilova 1270, Praha",Multimediální komunikace,veřejné / státní
96,1,18-20-M/01,Hlavní město Praha,Praha,151,108,117,Informační technologie,Praha,472,200,154,118,96,67,21,8,600006239,2024,ST1,"Soukr. SŠ výpočetní techniky s.r.o., Litvínovská 600, Praha","",soukromé
18,1,18-20-M/01,Hlavní město Praha,Praha,40,1,18,Informační technologie,Praha,77,17,21,38,18,3,6,9,600006310,2024,ST1,"Soukromá SŠ a ZŠ (1. KŠPA) Praha s.r.o., Chabařovická 1125, Praha",Informační technologie,soukromé
60,1,18-20-M/01,Hlavní město Praha,Praha,18,27,52,Informační technologie,Praha,157,28,61,66,60,18,22,20,600006565,2024,ST1,"SPŠ a Gymnázium Na Třebešíně, Na Třebešíně 2299, Praha","",veřejné / státní
64,1,18-20-M/01,Hlavní město Praha,Praha,108,36,144,Informační technologie,Praha,352,104,135,110,64,51,10,3,600006514,2024,ST1,"SPŠ elektrotechnická a gymnázium, V úžlabině 320, Praha","",veřejné / státní
96,1,18-20-M/01,Hlavní město Praha,Praha,356,2,228,Informační technologie,Praha,682,236,262,183,97,66,27,4,600004783,2024,ST1,"SPŠ elektrotechnická, Ječná 517, Praha",C / Programování a aplikace počítačů,veřejné / státní
30,1,18-20-M/01,Hlavní město Praha,Praha,32,25,49,Informační technologie,Praha,136,29,60,44,29,11,14,4,600004686,2024,ST1,"SPŠ strojnická, škola hl.m. Prahy, Betlémská 287, Praha","",veřejné / státní
30,1,18-20-M/01,Hlavní město Praha,Praha,29,47,42,Informační technologie,Praha,149,37,45,66,31,8,12,11,600005658,2024,ST1,"Střední průmyslová škola dopravní, a.s., Plzeňská 298, Praha","",soukromé
30,1,18-20-M/01,Hlavní město Praha,Praha,53,36,51,Informační technologie,Praha,170,65,70,35,29,19,10,0,600170039,2024,ST1,"Střední průmyslová škola na Proseku, Novoborská 610, Praha",Správa sítí a IT bezpečnost,veřejné / státní
30,1,18-20-M/01,Hlavní město Praha,Praha,123,55,59,Informační technologie,Praha,267,130,85,49,30,29,1,0,600170039,2024,ST1,"Střední průmyslová škola na Proseku, Novoborská 610, Praha",Vývoj aplikací,veřejné / státní
60,1,18-20-M/01,Hlavní město Praha,Praha,99,44,132,Informační technologie,Praha,335,68,124,138,61,31,23,7,600020151,2024,ST1,"VOŠ a SPŠ elektrotechnická Fr. Křižíka, Na Příkopě 856, Praha",Informační technologie v elektrotechnice,veřejné / státní
30,1,18-20-M/01,Hlavní město Praha,Praha,0,134,23,Informační technologie,Praha,176,41,76,57,19,5,8,6,600006174,2024,ST1,"VOŠ inf.studií a SŠ el.,multimédií a inf, Novovysočanská 280, Praha",Softwarové aplikace a programování,veřejné / státní
75,1,18-20-M/01,Hlavní město Praha,Praha,0,3,7,Informační technologie,Praha,32,21,7,4,22,19,2,1,691017638,2025,ST1,"Evropská akad. vzděl., SOU a SOŠ s.r.o.","Informační technologie, programování a implementace AI",soukromé
30,1,18-20-M/01,Hlavní město Praha,Praha,59,8,68,Informační technologie,Praha,165,46,56,60,30,22,5,3,600004520,2025,ST1,Obchodní akademie Dušní,Informatika v ekonomice,veřejné / státní
96,1,18-20-M/01,Hlavní město Praha,Praha,224,21,36,Informační technologie,Praha,377,305,55,16,96,93,3,0,600005542,2025,ST1,Smíchovská SPŠ a gymnázium,Informační technologie,veřejné / státní
32,1,18-20-M/01,Hlavní město Praha,Praha,34,10,10,Informační technologie,Praha,86,52,29,5,32,26,6,0,600005542,2025,ST1,Smíchovská SPŠ a gymnázium,Kybernetická bezpečnost,veřejné / státní
30,1,18-20-M/01,Hlavní město Praha,Praha,17,78,48,Informační technologie,Praha,173,71,61,40,30,24,6,0,600170080,2025,ST1,"SOŠ automobilní, informatiky a gymnázium",,veřejné / státní
30,1,18-20-M/01,Hlavní město Praha,Praha,15,65,34,Informační technologie,Praha,144,63,47,27,30,25,4,1,600170080,2025,ST1,"SOŠ automobilní, informatiky a gymnázium",Multimediální komunikace,veřejné / státní
96,1,18-20-M/01,Hlavní město Praha,Praha,82,97,107,Informační technologie,Praha,382,179,116,78,96,80,11,4,600006239,2025,ST1,Soukr. SŠ výpočetní techniky s.r.o.,,soukromé
28,1,18-20-M/01,Hlavní město Praha,Praha,13,5,29,Informační technologie,Praha,75,19,18,35,28,10,7,11,600006310,2025,ST1,Soukromá SŠ a ZŠ (1. KŠPA) Praha s.r.o.,Informační technologie,soukromé
60,1,18-20-M/01,Hlavní město Praha,Praha,0,152,124,Informační technologie,Praha,321,71,108,139,45,19,19,7,600006565,2025,ST1,SPŠ a Gymnázium Na Třebešíně,,veřejné / státní
98,1,18-20-M/01,Hlavní město Praha,Praha,153,6,132,Informační technologie,Praha,389,152,157,77,98,73,21,4,600004783,2025,ST1,SPŠ elektrotechnická,Programování a digitální technologie,veřejné / státní
64,1,18-20-M/01,Hlavní město Praha,Praha,31,52,74,Informační technologie,Praha,221,84,83,50,64,48,14,2,600006514,2025,ST1,SPŠ elektrotechnická a gymnázium,Informační technologie,veřejné / státní
30,1,18-20-M/01,Hlavní město Praha,Praha,39,43,71,Informační technologie,Praha,183,44,84,55,30,13,13,4,600004686,2025,ST1,"SPŠ strojnická, škola hl.m. Prahy",,veřejné / státní
30,1,18-20-M/01,Hlavní město Praha,Praha,4,48,36,Informační technologie,Praha,118,28,36,52,30,12,11,6,600005658,2025,ST1,"Střední průmyslová škola dopravní, a.s.",,soukromé
30,1,18-20-M/01,Hlavní město Praha,Praha,31,37,34,Informační technologie,Praha,132,67,38,26,30,26,4,0,600170039,2025,ST1,Střední průmyslová škola na Proseku,Správa sítí a IT bezpečnost,veřejné / státní
30,1,18-20-M/01,Hlavní město Praha,Praha,34,17,24,Informační technologie,Praha,105,53,38,11,30,25,5,0,600170039,2025,ST1,Střední průmyslová škola na Proseku,Vývoj aplikací,veřejné / státní
60,1,18-20-M/01,Hlavní město Praha,Praha,18,47,133,Informační technologie,Praha,258,55,115,87,60,31,25,4,600020151,2025,ST1,VOŠ a SPŠ elektrotechnická Fr. Křižíka,,veřejné / státní
28,1,18-20-M/01,Hlavní město Praha,Praha,40,18,34,Informační technologie,Praha,120,33,44,41,28,10,10,8,600006174,2025,ST1,"VOŠ inf.studií a SŠ el.,multimédií a inf",Softwarové aplikace a programování,veřejné / státní
30,1,18-20-M/01,Jihočeský,Blatná,1,3,33,Informační technologie,Strakonice,67,25,19,23,30,22,7,1,600008703,2024,ST1,"Střední odborná škola, V Jezárkách 745, Blatná","",veřejné / státní
30,1,18-20-M/01,Jihočeský,Blatná,7,1,50,Informační technologie,Strakonice,88,32,29,27,30,25,3,2,600008703,2025,ST1,Střední odborná škola,,veřejné / státní
20,1,18-20-M/01,Jihočeský,České Budějovice,7,8,11,Informační technologie,České Budějovice,46,26,10,9,19,17,2,0,600008266,2024,ST1,"EDUCAnet - SŠ a ZŠ ČB, s.r.o., Lannova tř. 1595, České Budějovice","",soukromé
20,1,18-20-M/01,Jihočeský,České Budějovice,0,13,20,Informační technologie,České Budějovice,47,15,17,14,14,11,3,0,600008266,2025,ST1,"EDUCAnet - SŠ a ZŠ ČB, s.r.o.",IT vzdělání pro praxi i další studium,soukromé
30,1,18-20-M/01,Jihočeský,Hluboká nad Vltavou,17,18,56,Informační technologie,České Budějovice,121,32,49,40,30,19,6,5,600170276,2024,ST1,"SOŠ elektrotechnická, COP, Zvolenovská 537, Hluboká nad Vltavou","",veřejné / státní
30,1,18-20-M/01,Jihočeský,Hluboká nad Vltavou,0,29,49,Informační technologie,České Budějovice,103,30,43,30,25,18,5,2,600170276,2025,ST1,"SOŠ elektrotechnická, COP",Programování a počítačové sítě,veřejné / státní
30,1,18-20-M/01,Jihočeský,Jindřichův Hradec,0,0,38,Informační technologie,Jindřichův Hradec,64,19,18,27,26,19,3,4,600008274,2024,ST1,"SOŠ a SOU, Jáchymova 478, Jindřichův Hradec","",veřejné / státní
30,1,18-20-M/01,Jihočeský,Jindřichův Hradec,0,0,21,Informační technologie,Jindřichův Hradec,40,13,9,17,19,13,5,1,600008274,2025,ST1,SOŠ a SOU,,veřejné / státní
30,1,18-20-M/01,Jihočeský,Písek,61,3,62,Informační technologie,Písek,156,78,42,36,30,30,0,0,600020266,2024,ST1,"SPŠ a VOŠ, Karla Čapka 402, Písek","",veřejné / státní
30,1,18-20-M/01,Jihočeský,Písek,6,9,36,Informační technologie,Písek,81,40,24,16,30,29,1,0,600020266,2025,ST1,SPŠ a VOŠ,,veřejné / státní
27,1,18-20-M/01,Jihočeský,Sezimovo Ústí,23,2,57,Informační technologie,Tábor,109,42,47,20,27,25,2,0,600170438,2024,ST1,"VOŠ, SŠ, Centrum odborné přípravy, Budějovická 421, Sezimovo Ústí",zaměření Správa sítí a programování nebo Kybernetická bezpečnost od 2. ročníku studia,veřejné / státní
30,1,18-20-M/01,Jihočeský,Sezimovo Ústí,18,4,37,Informační technologie,Tábor,89,34,37,18,30,24,6,0,600170438,2025,ST1,"VOŠ, SŠ, Centrum odborné přípravy","ŠVP: Informačni technologie, od 2. ročníku volba specializace Správa sítí a programování nebo Kybernetická bezpečnost",veřejné / státní
45,1,18-20-M/01,Jihočeský,Tábor,6,9,68,Informační technologie,Tábor,128,39,40,48,45,34,8,3,600008886,2024,ST1,"Střední škola spojů a informatiky, Bydlinského 2474, Tábor","",veřejné / státní
36,1,18-20-M/01,Jihočeský,Tábor,16,17,46,Informační technologie,Tábor,115,51,27,35,36,31,3,2,600008886,2025,ST1,Střední škola spojů a informatiky,,veřejné / státní
15,1,18-20-M/01,Jihočeský,Velešín,19,11,32,Informační technologie,Český Krumlov,77,35,24,15,15,15,0,0,600170349,2024,ST1,"SOŠ strojní a elektrotechnická, U Hřiště 527, Velešín",Informační technologie,veřejné / státní
30,1,18-20-M/01,Jihočeský,Velešín,13,10,29,Informační technologie,Český Krumlov,82,39,25,16,30,28,2,0,600170349,2025,ST1,SOŠ strojní a elektrotechnická,Informační technologie,veřejné / státní
20,1,18-20-M/01,Jihočeský,Vimperk,0,0,20,Informační technologie,Prachatice,25,5,15,5,5,5,0,0,600008690,2025,ST1,Všeobecné a sportovní gymnázium,,veřejné / státní
30,1,18-20-M/01,Jihomoravský,Boskovice,0,2,45,Informační technologie,Blansko,77,12,31,33,30,12,12,6,600013278,2024,ST1,"Střední škola André Citroëna, náměstí 9. května 2153, Boskovice","",veřejné / státní
30,1,18-20-M/01,Jihomoravský,Boskovice,18,3,44,Informační technologie,Blansko,95,43,27,25,30,28,1,1,600171779,2024,ST1,"Vyšší odborná škola a střední škola, Hybešova 982, Boskovice","",veřejné / státní
30,1,18-20-M/01,Jihomoravský,Boskovice,0,5,44,Informační technologie,Blansko,71,15,24,31,22,13,5,4,600013278,2025,ST1,Střední škola André Citroëna,,veřejné / státní
30,1,18-20-M/01,Jihomoravský,Boskovice,14,7,34,Informační technologie,Blansko,85,40,28,17,30,26,3,1,600171779,2025,ST1,Vyšší odborná škola a střední škola,,veřejné / státní
14,1,18-20-M/01,Jihomoravský,Brno,0,3,8,Informační technologie,Brno-město,24,10,5,9,13,10,1,2,600024962,2024,ST1,"MŠ, ZŠ a SŠ Gellnerka Brno, Gellnerova 66, Brno","",veřejné / státní
60,1,18-20-M/01,Jihomoravský,Brno,0,83,76,Informační technologie,Brno-město,215,59,100,56,55,27,19,9,600013782,2024,ST1,"SŠ inform., poštovnictví a finančnictví, Čichnova 982, Brno",Informační technologie,veřejné / státní
60,1,18-20-M/01,Jihomoravský,Brno,19,93,69,Informační technologie,Brno-město,241,94,78,65,59,43,8,8,600013782,2024,ST1,"SŠ inform., poštovnictví a finančnictví, Čichnova 982, Brno",Kybernetická bezpečnost,veřejné / státní
22,1,18-20-M/01,Jihomoravský,Brno,12,2,16,Informační technologie,Brno-město,52,11,18,22,22,6,11,4,600013669,2024,ST1,"Střední odborná škola EDUCAnet Brno, Hudcova 367, Brno","",soukromé
90,1,18-20-M/01,Jihomoravský,Brno,203,4,135,Informační technologie,Brno-město,432,221,134,76,90,82,5,3,600171027,2024,ST1,"Střední průmyslová škola, Purkyňova 2832, Brno","",veřejné / státní
60,1,18-20-M/01,Jihomoravský,Brno,173,4,137,Informační technologie,Brno-město,374,149,133,91,61,53,7,1,600171019,2024,ST1,"Střední škola technická a ekonomická, Olomoucká 1140, Brno",Počítačové sítě a informační systémy,veřejné / státní
13,1,18-20-M/01,Jihomoravský,Brno,6,0,7,Informační technologie,Brno-město,26,11,6,9,13,8,3,2,600024962,2025,ST1,"MŠ, ZŠ a SŠ Gellnerka Brno",,veřejné / státní
60,1,18-20-M/01,Jihomoravský,Brno,0,124,50,Informační technologie,Brno-město,193,64,84,43,19,17,2,0,600013782,2025,ST1,"SŠ inform., poštovnictví a finančnictví",Informační technologie,veřejné / státní
